sample-id,split,h5-rel-path,h5-dataset,h5-index,class-id,super-class,class-name,waveform-family,snr-db,fs-hz,n-samples,seed,symbol-rate-hz,sps,nfft,cp-len,n-active,chirp-bw-hz,chirp-dir,pulse-width-us,barker-len,costas-len,frank-order,p4-len,active-len,start-offset,channel-profile,release-name,iid-or-ood,rrc-beta,ofdm-num-symbols,costas-df-hz,costas-perm-id,chip-samples,chip-samples-min,chip-samples-max,gmsk-bt,cpfsk-modulation-index,cpfsk-tone-spacing-hz,effective-snr-basis
sample_000000001,train,hdf5/cisr24_train.h5,/iq,1,0,communication,BPSK,single-carrier-linear-modulation,0.000000,10000000.000000,1024,20260411,2500000.000000,4.000000,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,640,134,clean_awgn,CISR24,iid,0.250000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000002,train,hdf5/cisr24_train.h5,/iq,2,1,communication,QPSK,single-carrier-linear-modulation,0.000000,10000000.000000,1024,21260411,2500000.000000,4.000000,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,832,186,clean_awgn,CISR24,iid,0.250000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000003,train,hdf5/cisr24_train.h5,/iq,3,2,communication,8PSK,single-carrier-linear-modulation,0.000000,10000000.000000,1024,22260411,2500000.000000,4.000000,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,640,93,clean_awgn,CISR24,iid,0.250000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000004,train,hdf5/cisr24_train.h5,/iq,4,3,communication,16QAM,single-carrier-linear-modulation,0.000000,10000000.000000,1024,23260411,2500000.000000,4.000000,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,832,87,clean_awgn,CISR24,iid,0.350000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000005,train,hdf5/cisr24_train.h5,/iq,5,4,communication,4FSK,continuous-phase-frequency-modulation,0.000000,10000000.000000,1024,24260411,1250000.000000,8.000000,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,704,172,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.500000,625000.000000,active_burst
sample_000000006,train,hdf5/cisr24_train.h5,/iq,6,5,communication,8FSK,continuous-phase-frequency-modulation,0.000000,10000000.000000,1024,25260411,1250000.000000,8.000000,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,832,40,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.500000,625000.000000,active_burst
sample_000000007,train,hdf5/cisr24_train.h5,/iq,7,6,communication,GMSK,continuous-phase-frequency-modulation,0.000000,10000000.000000,1024,26260411,2500000.000000,4.000000,NaN,NaN,NaN,NaN,none,NaN,NaN,NaN,NaN,NaN,576,210,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.300000,NaN,NaN,active_burst
sample_000000008,train,hdf5/cisr24_train.h5,/iq,8,7,communication,OFDM-BPSK,ofdm-communication,0.000000,10000000.000000,1024,27260411,NaN,NaN,256.000000,32.000000,96.000000,NaN,none,NaN,NaN,NaN,NaN,NaN,576,279,clean_awgn,CISR24,iid,NaN,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000009,train,hdf5/cisr24_train.h5,/iq,9,8,communication,OFDM-QPSK,ofdm-communication,0.000000,10000000.000000,1024,28260411,NaN,NaN,256.000000,32.000000,96.000000,NaN,none,NaN,NaN,NaN,NaN,NaN,576,16,clean_awgn,CISR24,iid,NaN,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000010,train,hdf5/cisr24_train.h5,/iq,10,9,communication,OFDM-16QAM,ofdm-communication,0.000000,10000000.000000,1024,29260411,NaN,NaN,256.000000,32.000000,128.000000,NaN,none,NaN,NaN,NaN,NaN,NaN,576,185,clean_awgn,CISR24,iid,NaN,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
